gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.1G030100.v2.1	1	10	11	8	8	5	11	11	4	3	10	11
Prupe.1G030200.v2.1	200	356	334	253	340	445	187	314	219	214	531	543
Prupe.1G030300.v2.1	745	1112	1031	871	912	1015	818	1017	836	494	648	749
Prupe.1G030400.v2.1	1	4	2	16	15	6	1	1	0	2	5	6
Prupe.1G030500.v2.1	139	188	1599	2427	1795	1366	179	354	1773	498	3573	3083
Prupe.1G030600.v2.1	1358	3244	2991	1885	2744	3320	1513	2260	2191	465	1494	1984
Prupe.1G030700.v2.1	620	978	555	482	584	829	532	742	516	483	413	443
Prupe.1G030800.v2.1	325	518	430	545	494	600	430	607	453	427	861	831
Prupe.1G030900.v2.1	1293	1993	2073	1527	1700	2001	1508	2186	1936	1097	2310	2596
Prupe.1G031000.v2.1	0	2	1	1	0	1	3	3	0	0	2	4
Prupe.1G031100.v2.1	275	576	497	470	625	746	251	663	342	101	279	437
Prupe.1G031200.v2.1	1	0	0	0	0	0	0	0	1	1	1	2
Prupe.1G031300.v2.1	9	15	9	12	7	8	6	4	7	26	38	21
Prupe.1G031400.v2.1	558	886	791	886	913	957	780	1158	928	1785	1943	1700
